# asset	reason it carries no sidecar
bilingual/paris/paris-fr-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
bilingual/rome/rome-en-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
bilingual/rome/rome-it-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
facebook/video/20260729-2200-facebook-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
facebook/video/20260729-2318-facebook-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
facebook/video/20260730-0013-facebook-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
facebook/video/20260730-0113-facebook-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
facebook/video/20260730-0216-facebook-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
facebook/video/20260730-0313-facebook-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
facebook/video/20260730-0413-facebook-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
facebook/video/20260730-0513-facebook-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
facebook/video/20260730-0613-facebook-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
instagram/reels/20260729-2200-instagram-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
instagram/reels/20260729-2318-instagram-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
instagram/reels/20260730-0013-instagram-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
instagram/reels/20260730-0113-instagram-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
instagram/reels/20260730-0216-instagram-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
instagram/reels/20260730-0313-instagram-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
instagram/reels/20260730-0413-instagram-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
instagram/reels/20260730-0513-instagram-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
instagram/reels/20260730-0613-instagram-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
tiktok/video/20260729-2200-tiktok-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
tiktok/video/20260729-2318-tiktok-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
tiktok/video/20260730-0013-tiktok-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
tiktok/video/20260730-0113-tiktok-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
tiktok/video/20260730-0216-tiktok-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
tiktok/video/20260730-0313-tiktok-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
tiktok/video/20260730-0413-tiktok-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
tiktok/video/20260730-0513-tiktok-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
tiktok/video/20260730-0613-tiktok-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
youtube/shorts/20260729-2200-youtube-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
youtube/shorts/20260729-2318-youtube-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
youtube/shorts/20260730-0013-youtube-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
youtube/shorts/20260730-0113-youtube-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
youtube/shorts/20260730-0216-youtube-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
youtube/shorts/20260730-0313-youtube-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
youtube/shorts/20260730-0413-youtube-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
youtube/shorts/20260730-0513-youtube-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
youtube/shorts/20260730-0613-youtube-cover.png	frame 0 of the video master, a cover selection inside the app rather than a post of its own; the caption is on the matching -silent.txt
youtube/thumbnails/thumb-20260729-2200-youtube-1280x720.png	custom thumbnail for the Short of the same timestamp, an upload field rather than a post; title, description and tags are the 20260729-2200-youtube-silent sidecars
youtube/thumbnails/thumb-20260729-2318-youtube-1280x720.png	custom thumbnail for the Short of the same timestamp, an upload field rather than a post; title, description and tags are the 20260729-2318-youtube-silent sidecars
youtube/thumbnails/thumb-20260730-0013-youtube-1280x720.png	custom thumbnail for the Short of the same timestamp, an upload field rather than a post; title, description and tags are the 20260730-0013-youtube-silent sidecars
youtube/thumbnails/thumb-20260730-0113-youtube-1280x720.png	custom thumbnail for the Short of the same timestamp, an upload field rather than a post; title, description and tags are the 20260730-0113-youtube-silent sidecars
youtube/thumbnails/thumb-20260730-0216-youtube-1280x720.png	custom thumbnail for the Short of the same timestamp, an upload field rather than a post; title, description and tags are the 20260730-0216-youtube-silent sidecars
youtube/thumbnails/thumb-20260730-0313-youtube-1280x720.png	custom thumbnail for the Short of the same timestamp, an upload field rather than a post; title, description and tags are the 20260730-0313-youtube-silent sidecars
youtube/thumbnails/thumb-20260730-0413-youtube-1280x720.png	custom thumbnail for the Short of the same timestamp, an upload field rather than a post; title, description and tags are the 20260730-0413-youtube-silent sidecars
youtube/thumbnails/thumb-20260730-0513-youtube-1280x720.png	custom thumbnail for the Short of the same timestamp, an upload field rather than a post; title, description and tags are the 20260730-0513-youtube-silent sidecars
youtube/thumbnails/thumb-20260730-0613-youtube-1280x720.png	custom thumbnail for the Short of the same timestamp, an upload field rather than a post; title, description and tags are the 20260730-0613-youtube-silent sidecars
